cliente_id,material_id,data,peso,preco_na_data
1,1,2026-08-01,12.5,90
2,2,2026-08-01,18.2,120
3,3,2026-08-02,9.8,130
4,4,2026-08-02,22.4,55
5,5,2026-08-03,15.7,80
6,1,2026-08-04,8.5,90
7,2,2026-08-04,11.3,120
1,3,2026-08-05,16.8,130
2,4,2026-08-05,25.1,55
3,5,2026-08-06,13.6,80
4,1,2026-08-07,19.4,90
5,2,2026-08-07,7.9,120
6,3,2026-08-08,14.2,130
7,4,2026-08-08,20.6,55
1,5,2026-08-09,10.8,80
2,1,2026-08-10,17.5,90
3,2,2026-08-10,21.3,120
4,3,2026-08-11,12.7,130
5,4,2026-08-11,28.5,55
6,5,2026-08-12,9.4,80
7,1,2026-08-13,15.9,90
1,2,2026-08-13,23.7,120
2,3,2026-08-14,18.6,130
3,4,2026-08-14,31.2,55
4,5,2026-08-15,11.5,85
5,1,2026-08-16,20.8,90
6,2,2026-08-16,16.4,120
7,3,2026-08-17,13.9,130
1,4,2026-08-17,26.7,55
2,5,2026-08-18,14.3,85
